Town_ID,Name,type,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018
1,Abington,town,"16,043","16,075","16,095","16,165","16,231","16,262","16,322","16,400","16,516"
2,Acton,town,"21,983","22,269","22,675","22,929","23,252","23,485","23,610","23,712","23,738"
3,Acushnet,town,"10,304","10,299","10,318","10,343","10,399","10,447","10,473","10,507","10,580"
4,Adams,town,"8,479","8,423","8,412","8,369","8,307","8,235","8,161","8,104","8,077"
5,Agawam,Town city,"28,451","28,584","28,632","28,707","28,712","28,746","28,693","28,696","28,854"
6,Alford,town,499,499,498,497,497,496,493,491,491
7,Amesbury,Town city,"16,324","16,429","16,536","16,741","17,229","17,292","17,337","17,474","17,569"
8,Amherst,town,"38,725","39,055","39,024","39,677","39,788","39,904","40,036","39,523","39,503"
9,Andover,town,"33,158","33,750","34,075","34,666","35,026","35,305","35,475","35,803","36,403"
104,Aquinnah,town,312,316,318,327,329,329,328,327,327
10,Arlington,town,"42,935","43,385","43,841","44,247","44,607","44,903","45,226","45,385","45,624"
11,Ashburnham,town,"6,086","6,109","6,135","6,157","6,177","6,197","6,224","6,306","6,346"
12,Ashby,town,"3,085","3,115","3,152","3,174","3,194","3,202","3,205","3,219","3,234"
13,Ashfield,town,"1,734","1,738","1,737","1,733","1,733","1,730","1,726","1,733","1,734"
14,Ashland,town,"16,643","16,825","17,022","17,170","17,318","17,544","17,571","17,671","17,739"
15,Athol,town,"11,616","11,627","11,659","11,677","11,678","11,673","11,670","11,717","11,753"
16,Attleboro,city,"43,604","43,681","43,830","43,953","44,156","44,317","44,413","44,744","45,117"
17,Auburn,town,"16,217","16,281","16,352","16,418","16,513","16,561","16,604","16,683","16,782"
18,Avon,town,"4,364","4,376","4,401","4,445","4,462","4,460","4,496","4,504","4,519"
19,Ayer,town,"7,464","7,592","7,717","7,859","7,919","7,998","8,086","8,127","8,164"
20,Barnstable,Town city,"45,146","44,852","44,738","44,581","44,469","44,267","44,155","44,165","44,460"
21,Barre,town,"5,405","5,412","5,430","5,449","5,476","5,495","5,515","5,570","5,592"
22,Becket,town,"1,778","1,777","1,777","1,771","1,765","1,754","1,738","1,729","1,730"
23,Bedford,town,"13,355","13,538","13,758","13,989","14,010","14,092","14,139","14,176","14,195"
24,Belchertown,town,"14,658","14,741","14,788","14,801","14,812","14,853","14,962","15,077","15,134"
25,Bellingham,town,"16,443","16,497","16,624","16,770","16,860","16,937","17,017","17,121","17,182"
26,Belmont,town,"24,729","24,953","25,249","25,426","25,574","25,628","26,324","26,337","26,330"
27,Berkley,town,"6,418","6,451","6,486","6,507","6,574","6,638","6,675","6,697","6,802"
